Title,Author,Publication Date,Pages,Genre,Rating,Summary,Converted
City of Ashes,Cassandra Clare,"March 25, 2008",453 pages,"['Fantasy', 'Young Adult', 'Romance']",4.11,"Also see: Alternate Cover Editions for this ISBN [ACE]  
ACE #1
Clary Fray just wishes that her life would go back to normal. But what's normal when you're a demon-slaying Shadowhunter, your mother is in a magically induced coma, and you can suddenly see Downworlders like werewolves, vampires, and faeries? If Clary left the world of the Shadowhunters behind, it would mean more time with her best friend, Simon, who's becoming more than a friend. But the Shadowhunting world isn't ready to let her go — especially her handsome, infuriating, newfound brother, Jace. And Clary's only chance to help her mother is to track down rogue Shadowhunter Valentine, who is probably insane, certainly evil — and also her father.To complicate matters, someone in New York City is murdering Downworlder children. Is Valentine behind the killings — and if he is, what is he trying to do? When the second of the Mortal Instruments, the Soul-Sword, is stolen, the terrifying Inquisitor arrives to investigate and zooms right in on Jace. How can Clary stop Valentine if Jace is willing to betray everything he believes in to help their father?In this breathtaking sequel to City of Bones, Cassandra Clare lures her readers back into the dark grip of New York City's Downworld, where love is never safe and power becomes the deadliest temptation.",0
"Hush, Hush",Becca Fitzpatrick,"October 13, 2009",391 pages,"['Fantasy', 'Young Adult', 'Romance']",3.92,"A SACRED OATHA FALLEN ANGELA FORBIDDEN LOVERomance was not part of Nora Grey's plan. She's never been particularly attracted to the boys at her school, no matter how hard her best friend, Vee, pushes them at her. Not until Patch comes along. With his easy smile and eyes that seem to see inside her, Patch draws Nora to him against her better judgment.But after a series of terrifying encounters, Nora's not sure whom to trust. Patch seems to be everywhere she is and seems to know more about her than her closest friends. She can't decide whether she should fall into his arms or run and hide. And when she tries to seek some answers, she finds herself near a truth that is way more unsettling than anything Patch makes her feel.For she is right in the middle of an ancient battle between the immortal and those that have fallen - and, when it comes to choosing sides, the wrong choice will cost Nora her life.",0
Clockwork Angel,Cassandra Clare,"August 31, 2010",479 pages,"['Fantasy', 'Young Adult', 'Romance']",4.31,"In a time when Shadowhunters are barely winning the fight against the forces of darkness, one battle will change the course of history forever. Welcome to the Infernal Devices trilogy, a stunning and dangerous prequel to the New York Times bestselling Mortal Instruments series.The year is 1878. Tessa Gray descends into London’s dark supernatural underworld in search of her missing brother. She soon discovers that her only allies are the demon-slaying Shadowhunters—including Will and Jem, the mysterious boys she is attracted to. Soon they find themselves up against the Pandemonium Club, a secret organization of vampires, demons, warlocks, and humans. Equipped with a magical army of unstoppable clockwork creatures, the Club is out to rule the British Empire, and only Tessa and her allies can stop them...",0
Marked,P.C. Cast,"May 1, 2007",306 pages,"['Young Adult', 'Fantasy', 'Vampires']",3.81,"Also see: Alternate Cover Editions for this ISBN [ACE]  
ACE #1
After a Vampire Tracker Marks her with a crescent moon on her forehead, 16-year-old Zoey Redbird enters the House of Night and learns that she is no average fledgling. She has been Marked as special by the vampyre Goddess Nyx and has affinities for all five elements: Air, Fire, Water, Earth and Spirit. But she is not the only fledgling at the House of Night with special powers. When she discovers that the leader of the Dark Daughters, the school’s most elite club, is misusing her Goddess-given gifts, Zoey must look deep within herself for the courage to embrace her destiny—with a little help from her new vampyre friends (or Nerd Herd, as Aphrodite calls them).",0
Graceling,Kristin Cashore,"October 1, 2008",471 pages,"['Fantasy', 'Young Adult', 'Romance']",4.07,"Katsa has been able to kill a man with her bare hands since she was eight—she’s a Graceling, one of the rare people in her land born with an extreme skill. As niece of the king, she should be able to live a life of privilege, but Graced as she is with killing, she is forced to work as the king’s thug. She never expects to fall in love with beautiful Prince Po. She never expects to learn the truth behind her Grace—or the terrible secret that lies hidden far away . . . a secret that could destroy all seven kingdoms with words alone. With elegant, evocative prose and a cast of unforgettable characters, debut author Kristin Cashore creates a mesmerizing world, a death-defying adventure, and a heart-racing romance that will consume you, hold you captive, and leave you wanting more.",0
"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,"April 25, 2006",284 pages,"['Young Adult', 'Romance', 'Mystery']",3.84,"Cammie Morgan is a student at the Gallagher Academy for Exceptional Young Women, a fairly typical all-girls school—that is, if every school taught advanced martial arts in PE and the latest in chemical warfare in science, and students received extra credit for breaking CIA codes in computer class. The Gallagher Academy might claim to be a school for geniuses, but it's really a school for spies. Even though Cammie is fluent in fourteen languages and capable of killing a man in seven different ways, she has no idea what to do when she meets an ordinary boy who thinks she's an ordinary girl. Sure, she can tap his phone, hack into his computer, or track him through town with the skill of a real ""pavement artist""—but can she maneuver a relationship with someone who can never know the truth about her? Cammie Morgan may be an elite spy-in-training, but in her sophomore year, she's on her most dangerous mission—falling in love.",0
The Last Olympian,Rick Riordan,"May 5, 2009",381 pages,"['Fantasy', 'Young Adult', 'Mythology']",4.55,"All year the half-bloods have been preparing for battle against the Titans, knowing the odds of victory are grim. Kronos's army is stronger than ever, and with every god and half-blood he recruits, the evil Titan's power only grows.While the Olympians struggle to contain the rampaging monster Typhon, Kronos begins his advance on New York City, where Mount Olympus stands virtually unguarded. Now it's up to Percy Jackson and an army of young demigods to stop the Lord of Time. In this momentous final book in the New York Times best-selling series, the long-awaited prophecy surrounding Percy's sixteenth birthday unfolds. And as the battle for Western civilization rages on the streets of Manhattan, Percy faces a terrifying suspicion that he may be fighting against his own fate.",0
Cinder,Marissa Meyer,"January 3, 2012",400 pages,"['Fantasy', 'Young Adult', 'Science Fiction']",4.13,"Humans and androids crowd the raucous streets of New Beijing. A deadly plague ravages the population. From space, a ruthless Lunar people watch, waiting to make their move. No one knows that Earth’s fate hinges on one girl. . . . Cinder, a gifted mechanic, is a cyborg. She’s a second-class citizen with a mysterious past, reviled by her stepmother and blamed for her stepsister’s illness. But when her life becomes intertwined with the handsome Prince Kai’s, she suddenly finds herself at the center of an intergalactic struggle, and a forbidden attraction. Caught between duty and freedom, loyalty and betrayal, she must uncover secrets about her past in order to protect her world’s future.",0
The Angel Experiment,James           Patterson,"April 1, 2005",445 pages,"['Young Adult', 'Fantasy', 'Science Fiction']",4.07,"Six unforgettable kids — with no families, no homes — are running for their lives. Max Ride and her best friends have the ability to fly. And that's just the beginning of their amazing powers. But they don't know where they come from, who's hunting them, why they are different from all other humans... and if they're meant to save mankind — or destroy it.",0
The Titan’s Curse,Rick Riordan,"May 5, 2007",352 pages,"['Fantasy', 'Young Adult', 'Mythology']",4.37,"It's not everyday you find yourself in combat with a half-lion, half-human.But when you're the son of a Greek god, it happens. And now my friend Annabeth is missing, a goddess is in chains and only five half-blood heroes can join the quest to defeat the doomsday monster.Oh, and guess what? The Oracle has predicted that not all of us will survive...",0
