Title,Author,Publication Date,Pages,Genre,Rating,Summary,Converted,num_pages
The Lord of the Rings,J.R.R. Tolkien,1954-01-01 00:00:00,1216 pages,"['Fantasy', 'Classics', 'Fiction']",4.53,one ring to rule them all one ring to find them one ring to bring them all and in the darkness bind themin ancient times the rings of power were crafted by the elvensmiths and sauron the dark lord forged the one ring filling it with his own power so that he could rule all others but the one ring was taken from him and though he sought it throughout middleearth it remained lost to him after many ages it fell by chance into the hands of the hobbit bilbo bagginsfrom saurons fastness in the dark tower of mordor his power spread far and wide sauron gathered all the great rings to him but always he searched for the one ring that would complete his dominionwhen bilbo reached his eleventyfirst birthday he disappeared bequeathing to his young cousin frodo the ruling ring and a perilous quest to journey across middleearth deep into the shadow of the dark lord and destroy the ring by casting it into the cracks of doomthe lord of the rings tells of the great quest undertaken by frodo and the fellowship of the ring gandalf the wizard the hobbits merry pippin and sam gimli the dwarf legolas the elf boromir of gondor and a tall mysterious stranger called strider,1,1216.0
"The Lion, the Witch and the Wardrobe",C.S. Lewis,1950-10-16 00:00:00,206 pages,"['Fantasy', 'Fiction', 'Young Adult']",4.24,narnia the land beyond the wardrobe door a secret place frozen in eternal winter a magical country waiting to be set freelucy is the first to find the secret of the wardrobe in the professors mysterious old house at first her brothers and sister dont believe her when she tells of her visit to the land of narnia but soon edmund then peter and susan step through the wardrobe themselves in narnia they find a country buried under the evil enchantment of the white witch when they meet the lion aslan they realize theyve been called to a great adventure and bravely join the battle to free narnia from the witchs sinister spell,1,206.0
To Kill a Mockingbird,Harper Lee,1960-07-11 00:00:00,323 pages,"['Fiction', 'Historical Fiction', 'School']",4.26,the unforgettable novel of a childhood in a sleepy southern town and the crisis of conscience that rocked it to kill a mockingbird became both an instant bestseller and a critical success when it was first published in 1960 it went on to win the pulitzer prize in 1961 and was later made into an academy awardwinning film also a classiccompassionate dramatic and deeply moving to kill a mockingbird takes readers to the roots of human behavior  to innocence and experience kindness and cruelty love and hatred humor and pathos now with over 18 million copies in print and translated into forty languages this regional story by a young alabama woman claims universal appeal harper lee always considered her book to be a simple love story today it is regarded as a masterpiece of american literature,1,323.0
Charlie and the Chocolate Factory,Roald Dahl,1964-01-17 00:00:00,176 pages,"['Fiction', 'Fantasy', 'Childrens']",4.16,charlie buckets wonderful adventure begins when he finds one of mr willy wonkas precious golden tickets and wins a whole day inside the mysterious chocolate factory little does he know the surprises that are in store for himback cover,1,176.0
Pride and Prejudice,Jane Austen,1813-01-28 00:00:00,279 pages,"['Fiction', 'Historical Fiction', 'Historical']",4.29,since its immediate success in 1813 pride and prejudice has remained one of the most popular novels in the english language jane austen called this brilliant work her own darling child and its vivacious heroine elizabeth bennet as delightful a creature as ever appeared in print the romantic clash between the opinionated elizabeth and her proud beau mr darcy is a splendid performance of civilized sparring and jane austens radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue making this book the most superb comedy of manners of regency englandalternate cover edition of isbn 9780679783268,1,279.0
The Princess Bride,William Goldman,1973-09-01 00:00:00,429 pages,"['Fantasy', 'Fiction', 'Romance']",4.27,what happens when the most beautiful girl in the world marries the handsomest prince of all time and he turns out to bewella lot less than the man of her dreamsas a boy william goldman claims he loved to hear his father read the s morgenstern classic the princess bride but as a grownup he discovered that the boring parts were left out of good old dads recitation and only the good parts reached his earsnow goldman does dad one better hes reconstructed the good parts version to delight wise kids and wideeyed grownups everywherewhats it about fencing fighting true love strong hate harsh revenge a few giants lots of bad men lots of good men five or six beautiful women beasties monstrous and gentle some swell escapes and captures death lies truth miracles and a little sexin short its about everything,1,429.0
Little Women,Louisa May Alcott,1868-09-30 00:00:00,449 pages,"['Fiction', 'Historical Fiction', 'Young Adult']",4.16,this is an alternate cover edition of isbn 9780451529305generations of readers young and old male and female have fallen in love with the march sisters of louisa may alcotts most popular and enduring novel little women here are talented tomboy and authortobe jo tragically frail beth beautiful meg and romantic spoiled amy united in their devotion to each other and their struggles to survive in new england during the civil warit is no secret that alcott based little women on her own early life while her father the freethinking reformer and abolitionist bronson alcott hobnobbed with such eminent male authors as emerson thoreau and hawthorne louisa supported herself and her sisters with womans work including sewing doing laundry and acting as a domestic servant but she soon discovered she could make more money writing little women brought her lasting fame and fortune and far from being the girls book her publisher requested it explores such timeless themes as love and death war and peace the conflict between personal ambition and family responsibilities and the clash of cultures between europe and america,1,449.0
Twilight,Stephenie Meyer,2005-10-05 00:00:00,498 pages,"['Fantasy', 'Young Adult', 'Romance']",3.66,about three things i was absolutely positivefirst edward was a vampiresecond there was a part of him  and i didnt know how dominant that part might be  that thirsted for my bloodand third i was unconditionally and irrevocably in love with himdeeply seductive and extraordinarily suspenseful twilight is a love story with bite,1,498.0
Memoirs of a Geisha,Arthur Golden,1997-09-27 00:00:00,434 pages,"['Fiction', 'Historical Fiction', 'Romance']",4.16,a literary sensation and runaway bestseller this brilliant novel presents with seamless authenticity and exquisite lyricism the true confessions of one of japans most celebrated geishain memoirs of a geisha we enter a world where appearances are paramount where a girls virginity is auctioned to the highest bidder where women are trained to beguile the most powerful men and where love is scorned as illusion it is a unique and triumphant work of fiction  at once romantic erotic suspenseful  and completely unforgettable,1,434.0
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,1999-07-08 00:00:00,435 pages,"['Fantasy', 'Fiction', 'Young Adult']",4.58,harry potter along with his best friends ron and hermione is about to start his third year at hogwarts school of witchcraft and wizardry harry cant wait to get back to school after the summer holidays who wouldnt if they lived with the horrible dursleys but when harry gets to hogwarts the atmosphere is tense theres an escaped mass murderer on the loose and the sinister prison guards of azkaban have been called in to guard the school,1,435.0
Gone with the Wind,Margaret Mitchell,1936-06-30 00:00:00,1037 pages,"['Historical Fiction', 'Fiction', 'Romance']",4.31,scarlett ohara the beautiful spoiled daughter of a welltodo georgia plantation owner must use every means at her disposal to claw her way out of the poverty she finds herself in after shermans march to the sea,1,1037.0
Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997-06-26 00:00:00,309 pages,"['Fantasy', 'Fiction', 'Young Adult']",4.47,harry potter has no idea how famous he is thats because hes being raised by his miserable aunt and uncle who are terrified harry will learn that hes really a wizard just as his parents were but everything changes when harry is summoned to attend an infamous school for wizards and he begins to discover some clues about his illustrious birthright from the surprising way he is greeted by a lovable giant to the unique curriculum and colorful faculty at his unusual school harry finds himself drawn deep inside a mystical world he never knew existed and closer to his own noble destiny,1,309.0
Romeo and Juliet,William Shakespeare,1597-01-01 00:00:00,281 pages,"['Plays', 'Fiction', 'Classics']",3.74,in romeo and juliet shakespeare creates a violent world in which two young people fall in love it is not simply that their families disapprove the montagues and the capulets are engaged in a blood feudin this deathfilled setting the movement from love at first sight to the lovers final union in death seems almost inevitable and yet this play set in an extraordinary world has become the quintessential story of young love in part because of its exquisite language it is easy to respond as if it were about all young lovers,1,281.0
Charlotte’s Web,E.B. White,1952-10-15 00:00:00,184 pages,"['Fiction', 'Childrens', 'Classics']",4.2,this beloved book by e b white author of stuart little and the trumpet of the swan is a classic of childrens literature that is just about perfect this highquality paperback features vibrant illustrations colorized by rosemary wellssome pig humble radiant these are the words in charlottes web high up in zuckermans barn charlottes spiderweb tells of her feelings for a little pig named wilbur who simply wants a friend they also express the love of a girl named fern who saved wilburs life when he was born the runt of his littere b whites newbery honor book is a tender novel of friendship love life and death that will continue to be enjoyed by generations to come this edition contains newly color illustrations by garth williams the acclaimed illustrator of e b whites stuart little and laura ingalls wilders little house series among many other books,1,184.0
The Hunger Games,Suzanne Collins,2008-09-14 00:00:00,374 pages,"['Young Adult', 'Fiction', 'Fantasy']",4.34,could you survive on your own in the wild with every one out to make sure you dont live to see the morningin the ruins of a place once known as north america lies the nation of panem a shining capitol surrounded by twelve outlying districts the capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual hunger games a fight to the death on live tvsixteenyearold katniss everdeen who lives alone with her mother and younger sister regards it as a death sentence when she steps forward to take her sisters place in the games but katniss has been close to dead beforeand survival for her is second nature without really meaning to she becomes a contender but if she is to win she will have to start making choices that weight survival against humanity and life against love,1,374.0
The Green Mile,Stephen        King,1996-01-01 00:00:00,592 pages,"['Horror', 'Fiction', 'Fantasy']",4.48,at cold mountain penitentiary along the lonely stretch of cells known as the green mile condemned killers such as billy the kid wharton and the possessed eduard delacroix await death strapped in old sparky but good or evil innocent or guilty prisoner or guard none has ever seen the brutal likes of the new prisoner john coffey sentenced to death for raping and murdering two young girls is coffey a devil in human form or is he a far far different kind of beingthere are more wonders in heaven and hell than anyone at cold mountain can imagine and one of those wonders might just have stepped in amongst them,1,592.0
Jurassic Park,Michael Crichton,1990-11-07 00:00:00,467 pages,"['Science Fiction', 'Fiction', 'Thriller']",4.11,en esta espectacular novela los dinosaurios vuelven a conquistar la tierra en una isla remota un grupo de hombres y mujeres emprende una carrera contra el tiempo para evitar un desastre mundial provocado por la desmedida ambición de comercializar la ingeniería genética pero todos los esfuerzos resultarán vanos cuando el inescrupuloso proyecto quede fuera de control y el mundo a merced de unas bestias monstruosasparque jurásico la novela más célebre de michael crichton y una de las más leídas en los últimos años fue adaptada al cine por steven spielberg en una película que se convirtió en el gran acontecimiento cinematográfico de 1993 y en el origen del fenómeno de masas llamado dinomanía,1,467.0
Interview with the Vampire,Anne Rice,1976-04-12 00:00:00,346 pages,"['Horror', 'Fantasy', 'Fiction']",4.02,this is the story of louis as told in his own words of his journey through mortal and immortal life louis recounts how he became a vampire at the hands of the radiant and sinister lestat and how he became indoctrinated unwillingly into the vampire way of life his story ebbs and flows through the streets of new orleans defining crucial moments such as his discovery of the exquisite lost young child claudia wanting not to hurt but to comfort her with the last breaths of humanity he has inside yet he makes claudia a vampire trapping her womanly passion will and intelligence inside the body of a small child louis and claudia form a seemingly unbreakable alliance and even settle down for a while in the opulent french quarter louis remembers claudias struggle to understand herself and the hatred they both have for lestat that sends them halfway across the world to seek others of their kind louis and claudia are desperate to find somewhere they belong to find others who understand and someone who knows what and why they arelouis and claudia travel europe eventually coming to paris and the ragingly successful theatre des vampiresa theatre of vampires pretending to be mortals pretending to be vampires here they meet the magnetic and ethereal armand who brings them into a whole society of vampires but louis and claudia find that finding others like themselves provides no easy answers and in fact presents dangers they scarcely imaginedoriginally begun as a short story the book took off as anne wrote it spinning the tragic and triumphant life experiences of a soul as well as the struggles of its characters interview captures the political and social changes of two continents the novel also introduces lestat annes most enduring character a heady mixture of attraction and revulsion the book full of lush description centers on the themes of immortality change loss sexuality and powersource annericecom,1,346.0
Stardust,Neil Gaiman,1999-01-01 00:00:00,248 pages,"['Fantasy', 'Fiction', 'Young Adult']",4.1,alternate cover edition can be found hereyoung tristran thorn will do anything to win the cold heart of beautiful victoriaeven fetch her the star they watch fall from the night sky but to do so he must enter the unexplored lands on the other side of the ancient wall that gives their tiny village its name beyond that old stone wall tristran learns lies faeriewhere nothing not even a fallen star is what he imagined,1,248.0
The Secret Garden,Frances Hodgson Burnett,1911-08-01 00:00:00,331 pages,"['Fiction', 'Classics', 'Childrens']",4.16,in a house full of sadness and secrets can young orphaned mary find happinessmary lennox a spoiled illtempered and unhealthy child comes to live with her reclusive uncle in misselthwaite manor on englands yorkshire moors after the death of her parents there she meets a hearty housekeeper and her spirited brother a dour gardener a cheerful robin and her wilful hysterical and sickly cousin master colin whose wails she hears echoing through the house at nightwith the help of the robin mary finds the door to a secret garden neglected and hidden for years when she decides to restore the garden in secret the story becomes a charming journey into the places of the heart where faith restores health flowers refresh the spirit and the magic of the garden coming to life anew brings health to colin and happiness to mary,1,331.0
The Wonderful Wizard of Oz,L. Frank Baum,1900-05-17 00:00:00,154 pages,"['Classics', 'Fantasy', 'Fiction']",4.0,come along toto she said we will go to the emerald city and ask the great oz how to get back to kansas again swept away from her home in kansas by a tornado dorothy and her dog toto find themselves stranded in the fantastical land of oz as instructed by the good witch of the north and the munchkins dorothy sets off on the yellow brick road to try and find her way to the emerald city and the wizard of oz who can help her get home with her companions the scarecrow the tin woodman and the cowardly lion dorothy experiences an adventure full of friendship magic and danger a muchloved childrens classic the wizard of oz continues to delight readers young and old with its enchanting tale of witches flying monkeys and silver shoes,1,154.0
The Great Gatsby,F. Scott Fitzgerald,1925-04-10 00:00:00,180 pages,"['Fiction', 'School', 'Historical Fiction']",3.93,the great gatsby f scott fitzgeralds third book stands as the supreme achievement of his career this exemplary novel of the jazz age has been acclaimed by generations of readers the story of the fabulously wealthy jay gatsby and his love for the beautiful daisy buchanan of lavish parties on long island at a time when the new york times noted gin was the national drink and sex the national obsession it is an exquisitely crafted tale of america in the 1920sthe great gatsby is one of the great classics of twentiethcentury literaturefrom the back cover,1,180.0
The Help,Kathryn Stockett,2009-02-10 00:00:00,464 pages,"['Fiction', 'Historical Fiction', 'Historical']",4.46,three ordinary women are about to take one extraordinary steptwentytwoyearold skeeter has just returned home after graduating from ole miss she may have a degree but it is 1962 mississippi and her mother will not be happy till skeeter has a ring on her finger skeeter would normally find solace with her beloved maid constantine the woman who raised her but constantine has disappeared and no one will tell skeeter where she has goneaibileen is a black maid a wise regal woman raising her seventeenth white child something has shifted inside her after the loss of her own son who died while his bosses looked the other way she is devoted to the little girl she looks after though she knows both their hearts may be brokenminny aibileens best friend is short fat and perhaps the sassiest woman in mississippi she can cook like nobodys business but she cant mind her tongue so shes lost yet another job minny finally finds a position working for someone too new to town to know her reputation but her new boss has secrets of her ownseemingly as different from one another as can be these women will nonetheless come together for a clandestine project that will put them all at risk and why because they are suffocating within the lines that define their town and their times and sometimes lines are made to be crossedin pitchperfect voices kathryn stockett creates three extraordinary women whose determination to start a movement of their own forever changes a town and the way women mothers daughters caregivers friends view one another a deeply moving novel filled with poignancy humor and hope the help is a timeless and universal story about the lines we abide by and the ones we dont librarians note an alternate cover edition can be found here,1,464.0
Holes,Louis Sachar,1998-08-20 00:00:00,272 pages,"['Young Adult', 'Fiction', 'Middle Grade']",4.0,stanley yelnats is under a curse a curse that began with his nogooddirtyrottenpigstealinggreatgreatgrandfather and has since followed generations of yelnats now stanley has been unjustly sent to a boys detention center camp green lake where the boys build character by spending all day every day digging holes exactly five feet wide and five feet deep there is no lake at camp green lake but there are an awful lot of holesit doesnt take long for stanley to realize theres more than character improvement going on at camp green lake the boys are digging holes because the warden is looking for something but what could be buried under a driedup lake stanley tries to dig up the truth in this inventive and darkly humorous tale of crime and punishmentand redemption,1,272.0
Bridget Jones’s Diary,Helen Fielding,1996-01-01 00:00:00,288 pages,"['Fiction', 'Chick Lit', 'Romance']",3.81,meet bridget jones a 30something singleton who is certain she would have all the answers if she coulda lose 7 poundsb stop smokingc develop inner poise129 lbs how is it possible to put on 4 pounds in the middle of the night could flesh have somehow solidified becoming denser and heavier repulsive horrifying notion alcohol units 4 excellent cigarettes 21 poor but will give up totally tomorrow number of correct lottery numbers 2 better but nevertheless uselessbridget jones diary is the devastatingly selfaware laughoutloud daily chronicle of bridgets permanent doomed quest for selfimprovement  a year in which she resolves to reduce the circumference of each thigh by 15 inches visit the gym three times a week not just to buy a sandwich form a functional relationship with a responsible adult  and learn to program the vcrover the course of the year bridget loses a total of 72 pounds but gains a total of 74 she remains however optimistic through it all bridget will have you helpless with laughter and  like millions of readers the world round  youll find yourself shouting bridget jones is me,1,288.0
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1987-01-01 00:00:00,416 pages,"['Fiction', 'Historical Fiction', 'Classics']",4.28,folksy and fresh endearing and affecting fried green tomatoes at the whistle stop cafe is a nowclassic novel about two women evelyn who is in the sad slump of middle age and grayheaded mrs threadgoode who is telling her life story her tale includes two more women the irrepressibly daredevilish tomboy idgie and her friend ruth who back in the thirties ran a little place in whistle stop alabama offering good coffee southern barbecue and all kinds of love and laughter even an occasional murder and as the past unfolds the present will never be quite the same again,1,416.0
The Color Purple,Alice Walker,1982-06-01 00:00:00,295 pages,"['Fiction', 'Historical Fiction', 'Feminism']",4.27,life wasnt easy for celie but she knew how to survive needing little to get bythen her husbands lover a flamboyant blues singer barreled into her world and gave celie the courage to ask for more  to laugh to play and finally  to love,1,295.0
